央视,#genre#
CCTV-1综合,http://www.xuweihome.vip:2222/udp/239.253.248.77:8000
CCTV-2财经,http://www.xuweihome.vip:2222/udp/239.253.248.234:8000
CCTV-3综艺,http://www.xuweihome.vip:2222/udp/239.253.248.191:8000
CCTV-4中文国际,http://www.xuweihome.vip:2222/udp/239.253.248.111:8000
CCTV-5体育,http://www.xuweihome.vip:2222/udp/239.253.248.6:8000
CCTV-5+体育赛事,http://www.xuweihome.vip:2222/udp/239.253.248.80:8000
CCTV-6,http://www.xuweihome.vip:2222/udp/239.253.248.7:8000
CCTV-7国防军事,http://www.xuweihome.vip:2222/udp/239.253.248.235:8000
CCTV-8,http://www.xuweihome.vip:2222/udp/239.253.248.9:8000
CCTV-9纪录,http://www.xuweihome.vip:2222/udp/239.253.248.79:8000
CCTV-10科教,http://www.xuweihome.vip:2222/udp/239.253.248.236:8000
CCTV-11戏曲,http://www.xuweihome.vip:2222/udp/239.253.248.12:8000
CCTV-12社会与法,http://www.xuweihome.vip:2222/udp/239.253.248.237:8000
CCTV-13新闻,http://www.xuweihome.vip:2222/udp/239.253.248.14:8000
CCTV-14少儿,http://www.xuweihome.vip:2222/udp/239.253.248.238:8000
CCTV-15音乐,http://www.xuweihome.vip:2222/udp/239.253.248.16:8000
CCTV-17农村农业,http://www.xuweihome.vip:2222/udp/239.253.248.168:8000
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://124.128.73.58:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6,http://124.128.73.58:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://124.128.73.58:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://124.128.73.58:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://124.128.73.58:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://124.128.73.58:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://124.128.73.58:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://124.128.73.58:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://124.128.73.58:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://124.128.73.58:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-1综合,http://aa.liuxuserver.cn:1025/udp/239.253.254.77:8000
CCTV-2财经,http://aa.liuxuserver.cn:1025/udp/239.253.254.232:8000
CCTV-3综艺,http://aa.liuxuserver.cn:1025/udp/239.253.254.191:8000
CCTV-4中文国际,http://aa.liuxuserver.cn:1025/udp/239.253.254.111:8000
CCTV-5体育,http://aa.liuxuserver.cn:1025/udp/239.253.254.192:8000
CCTV-5+体育赛事,http://aa.liuxuserver.cn:1025/udp/239.253.254.80:8000
CCTV-6,http://aa.liuxuserver.cn:1025/udp/239.253.254.7:8000
CCTV-7国防军事,http://aa.liuxuserver.cn:1025/udp/239.253.254.233:8000
CCTV-8,http://aa.liuxuserver.cn:1025/udp/239.253.254.194:8000
CCTV-9纪录,http://aa.liuxuserver.cn:1025/udp/239.253.254.79:8000
CCTV-10科教,http://aa.liuxuserver.cn:1025/udp/239.253.254.234:8000
CCTV-11戏曲,http://aa.liuxuserver.cn:1025/udp/239.253.254.169:8000
CCTV-12社会与法,http://aa.liuxuserver.cn:1025/udp/239.253.254.235:8000
CCTV-13新闻,http://aa.liuxuserver.cn:1025/udp/239.253.254.175:8000
CCTV-14少儿,http://aa.liuxuserver.cn:1025/udp/239.253.254.236:8000
CCTV-15音乐,http://aa.liuxuserver.cn:1025/udp/239.253.254.170:8000
CCTV-17农村农业,http://aa.liuxuserver.cn:1025/udp/239.253.254.168:8000
卫视,#genre#
山东卫视,http://www.xuweihome.vip:2222/udp/239.253.248.78:8000
湖南卫视,http://www.xuweihome.vip:2222/udp/239.253.248.82:8000
浙江卫视,http://www.xuweihome.vip:2222/udp/239.253.248.84:8000
东方卫视,http://www.xuweihome.vip:2222/udp/239.253.248.86:8000
江苏卫视,http://www.xuweihome.vip:2222/udp/239.253.248.83:8000
北京卫视,http://www.xuweihome.vip:2222/udp/239.253.248.85:8000
安徽卫视,http://www.xuweihome.vip:2222/udp/239.253.248.87:8000
天津卫视,http://www.xuweihome.vip:2222/udp/239.253.248.89:8000
辽宁卫视,http://www.xuweihome.vip:2222/udp/239.253.248.92:8000
深圳卫视,http://www.xuweihome.vip:2222/udp/239.253.248.91:8000
东南卫视,http://www.xuweihome.vip:2222/udp/239.253.248.105:8000
湖北卫视,http://www.xuweihome.vip:2222/udp/239.253.248.88:8000
广东卫视,http://www.xuweihome.vip:2222/udp/239.253.248.90:8000
黑龙江卫视,http://www.xuweihome.vip:2222/udp/239.253.248.93:8000
重庆卫视,http://www.xuweihome.vip:2222/udp/239.253.248.38:8000
贵州卫视,http://www.xuweihome.vip:2222/udp/239.253.248.113:8000
江西卫视,http://www.xuweihome.vip:2222/udp/239.253.248.47:8000
河北卫视,http://www.xuweihome.vip:2222/udp/239.253.248.112:8000
海南卫视,http://www.xuweihome.vip:2222/udp/239.253.248.35:8000
四川卫视,http://www.xuweihome.vip:2222/udp/239.253.248.50:8000
山西卫视,http://www.xuweihome.vip:2222/udp/239.253.248.48:8000
河南卫视,http://www.xuweihome.vip:2222/udp/239.253.248.44:8000
广西卫视,http://www.xuweihome.vip:2222/udp/239.253.248.40:8000
吉林卫视,http://www.xuweihome.vip:2222/udp/239.253.248.46:8000
云南卫视,http://www.xuweihome.vip:2222/udp/239.253.248.42:8000
陕西卫视,http://www.xuweihome.vip:2222/udp/239.253.248.49:8000
内蒙古卫视,http://www.xuweihome.vip:2222/udp/239.253.248.58:8000
宁夏卫视,http://www.xuweihome.vip:2222/udp/239.253.248.53:8000
新疆卫视,http://www.xuweihome.vip:2222/udp/239.253.248.60:8000
甘肃卫视,http://www.xuweihome.vip:2222/udp/239.253.248.52:8000
青海卫视,http://www.xuweihome.vip:2222/udp/239.253.248.54:8000
西藏卫视,http://www.xuweihome.vip:2222/udp/239.253.248.56:8000
兵团卫视,http://www.xuweihome.vip:2222/udp/239.253.248.57:8000
农林卫视,http://www.xuweihome.vip:2222/udp/239.253.248.70:8000
山东卫视,http://124.128.73.58:9901/tsfile/live/0107_1.m3u8?key=txiptv
浙江卫视,http://124.128.73.58:9901/tsfile/live/0124_1.m3u8?key=txiptv
湖南卫视,http://124.128.73.58:9901/tsfile/live/0128_1.m3u8?key=txiptv
江苏卫视,http://124.128.73.58:9901/tsfile/live/0127_1.m3u8?key=txiptv
上海卫视,http://124.128.73.58:9901/tsfile/live/0107_2.m3u8?key=txiptv
天津卫视,http://124.128.73.58:9901/tsfile/live/0135_1.m3u8?key=txiptv
北京卫视,http://124.128.73.58:9901/tsfile/live/0122_1.m3u8?key=txiptv
广东卫视,http://124.128.73.58:9901/tsfile/live/0125_1.m3u8?key=txiptv
湖北卫视,http://124.128.73.58:9901/tsfile/live/0132_1.m3u8?key=txiptv
旅游卫视,http://124.128.73.58:9901/tsfile/live/0114_1.m3u8?key=txiptv
吉林卫视,http://124.128.73.58:9901/tsfile/live/0116_1.m3u8?key=txiptv
山西卫视,http://124.128.73.58:9901/tsfile/live/0118_1.m3u8?key=txiptv
云南卫视,http://124.128.73.58:9901/tsfile/live/0119_1.m3u8?key=txiptv
宁夏卫视,http://124.128.73.58:9901/tsfile/live/0112_1.m3u8?key=txiptv
广西卫视,http://124.128.73.58:9901/tsfile/live/0113_1.m3u8?key=txiptv
辽宁卫视,http://124.128.73.58:9901/tsfile/live/0121_1.m3u8?key=txiptv
四川卫视,http://124.128.73.58:9901/tsfile/live/0123_1.m3u8?key=txiptv
东南卫视,http://124.128.73.58:9901/tsfile/live/0137_1.m3u8?key=txiptv
陕西卫视,http://124.128.73.58:9901/tsfile/live/0136_1.m3u8?key=txiptv
重庆卫视,http://124.128.73.58:9901/tsfile/live/0142_1.m3u8?key=txiptv
河南卫视,http://124.128.73.58:9901/tsfile/live/0139_1.m3u8?key=txiptv
江西卫视,http://124.128.73.58:9901/tsfile/live/0138_1.m3u8?key=txiptv
安徽卫视,http://124.128.73.58:9901/tsfile/live/0130_1.m3u8?key=txiptv
深圳卫视,http://124.128.73.58:9901/tsfile/live/0126_1.m3u8?key=txiptv
甘肃卫视,http://124.128.73.58:9901/tsfile/live/0141_1.m3u8?key=txiptv
青海卫视,http://124.128.73.58:9901/tsfile/live/0140_1.m3u8?key=txiptv
黑龙江卫视,http://124.128.73.58:9901/tsfile/live/0143_1.m3u8?key=txiptv
厦门卫视,http://124.128.73.58:9901/tsfile/live/0129_1.m3u8?key=txiptv
河北卫视,http://124.128.73.58:9901/tsfile/live/0117_1.m3u8?key=txiptv
贵州卫视,http://124.128.73.58:9901/tsfile/live/0120_1.m3u8?key=txiptv
西藏卫视,http://124.128.73.58:9901/tsfile/live/0111_1.m3u8?key=txiptv
兵团卫视,http://124.128.73.58:9901/tsfile/live/0115_1.m3u8?key=txiptv
内蒙古卫视,http://124.128.73.58:9901/tsfile/live/0109_1.m3u8?key=txiptv
新疆卫视,http://124.128.73.58:9901/tsfile/live/0110_1.m3u8?key=txiptv
山东卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.78:8000
湖南卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.82:8000
浙江卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.84:8000
东方卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.86:8000
江苏卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.83:8000
北京卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.85:8000
安徽卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.87:8000
天津卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.89:8000
辽宁卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.92:8000
深圳卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.91:8000
东南卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.105:8000
湖北卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.88:8000
广东卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.90:8000
黑龙江卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.93:8000
重庆卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.38:8000
贵州卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.113:8000
江西卫视,http://aa.liuxuserver.cn:1025/udp/239.253.254.47:8000
